"pathway","pval","padj","log2err","ES","NES","size"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY",0.449275362318841,0.661176642442391,0.142901149386948,-0.287803578634413,-1.00272080347778,31
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",0.0758570288363423,0.193435423532673,0.287805130535564,-0.422736423310258,-1.39146950218555,24
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY",0.169154228855721,0.348560229157244,0.245041785430996,-0.34702247088298,-1.19063498752187,29
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.450507614213198,0.661176642442391,0.0615706755421678,0.398973082009812,1.02094795840894,25
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0335869824430892,0.107901486903783,0.321775918075361,-0.41847019064127,-1.43764266518367,30
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY",0.896414342629482,0.962465925770602,0.0847985102819124,-0.228951734106726,-0.707365592478992,20
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.0800356908395478,0.197906435530518,0.287805130535564,-0.401548550075372,-1.37771410506046,29
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",0.672268907563025,0.84256799188445,0.0404934829859503,0.316728712020485,0.876850370699201,39
"KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY",0.0166582040441297,0.0693525229592337,0.352487857583619,-0.520968407442964,-1.63661152500296,21
"KEGG_MEDICUS_REFERENCE_ACTH_CORTISOL_SIGNALING_PATHWAY",0.0420541040451484,0.127096847780893,0.321775918075361,-0.437515046465616,-1.50111524640973,29
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119",0.396551724137931,0.619896948077685,0.0699458736501659,0.424147773066257,1.05135887187016,21
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES",0.672131147540984,0.84256799188445,0.0427591434738678,0.341670711846271,0.881836759720298,26
